Date,Open,High,Low,Close,Volume
2017-01-23 12-54,119.9941,119.9941,119.9941,119.9941,25707
2017-01-23 12-55,120.02,120.02,120.02,120.02,11971
2017-01-23 12-56,120.0089,120.0089,120.0089,120.0089,17666
2017-01-23 12-57,120.0165,120.0165,120.0165,120.0165,9041
2017-01-23 12-58,120.03,120.03,120.03,120.03,28084
2017-01-23 12-59,120.025,120.025,120.025,120.025,10283
2017-01-23 13-00,120.01,120.01,120.01,120.01,17751
2017-01-23 13-01,120.0401,120.0401,120.0401,120.0401,40919
2017-01-23 13-02,120.02,120.02,120.02,120.02,36368
2017-01-23 13-03,120.04,120.04,120.04,120.04,11630
2017-01-23 13-04,120.05,120.05,120.05,120.05,35081
2017-01-23 13-05,120.0437,120.0437,120.0437,120.0437,12682
2017-01-23 13-06,120.0641,120.0641,120.0641,120.0641,45005
2017-01-23 13-07,120.04,120.04,120.04,120.04,15920
2017-01-23 13-08,120.01,120.01,120.01,120.01,19973
2017-01-23 13-09,120.0257,120.0257,120.0257,120.0257,11601
2017-01-23 13-10,120.0241,120.0241,120.0241,120.0241,14632
2017-01-23 13-11,120.0201,120.0201,120.0201,120.0201,14525
2017-01-23 13-12,120.015,120.015,120.015,120.015,9419
2017-01-23 13-13,120.01,120.01,120.01,120.01,13017
2017-01-23 13-14,119.99,119.99,119.99,119.99,27890
2017-01-23 13-15,120,120,120,120,11069
2017-01-23 13-16,120.005,120.005,120.005,120.005,14871
2017-01-23 13-17,120,120,120,120,24658
2017-01-23 13-18,120,120,120,120,11674
2017-01-23 13-19,120,120,120,120,16986
2017-01-23 13-20,119.99,119.99,119.99,119.99,20852
2017-01-23 13-21,120.02,120.02,120.02,120.02,18289
2017-01-23 13-22,120.0635,120.0635,120.0635,120.0635,21967
2017-01-23 13-23,120.0734,120.0734,120.0734,120.0734,22990
2017-01-23 13-24,120.0653,120.0653,120.0653,120.0653,8661
2017-01-23 13-25,120.0441,120.0441,120.0441,120.0441,14367
2017-01-23 13-26,120.0041,120.0041,120.0041,120.0041,25523
2017-01-23 13-27,119.985,119.985,119.985,119.985,37035
2017-01-23 13-28,120.01,120.01,120.01,120.01,17549
2017-01-23 13-29,119.97,119.97,119.97,119.97,17125
2017-01-23 13-30,120,120,120,120,19320
2017-01-23 13-31,120,120,120,120,14184
2017-01-23 13-32,120.02,120.02,120.02,120.02,19002
2017-01-23 13-33,120.02,120.02,120.02,120.02,13509
2017-01-23 13-34,120.051,120.051,120.051,120.051,45413
2017-01-23 13-35,120.05,120.05,120.05,120.05,41889
2017-01-23 13-36,120.08,120.08,120.08,120.08,71319
2017-01-23 13-37,120.12,120.12,120.12,120.12,66138
2017-01-23 13-38,120.1151,120.1151,120.1151,120.1151,34109
2017-01-23 13-39,120.12,120.12,120.12,120.12,27702
2017-01-23 13-40,120.15,120.15,120.15,120.15,49584
2017-01-23 13-41,120.135,120.135,120.135,120.135,24335
2017-01-23 13-42,120.1301,120.1301,120.1301,120.1301,24595
2017-01-23 13-43,120.1205,120.1205,120.1205,120.1205,10016
2017-01-23 13-44,120.12,120.12,120.12,120.12,42425
2017-01-23 13-45,120.1201,120.1201,120.1201,120.1201,18296
2017-01-23 13-46,120.14,120.14,120.14,120.14,25714
2017-01-23 13-47,120.1546,120.1546,120.1546,120.1546,30621
2017-01-23 13-48,120.14,120.14,120.14,120.14,22486
2017-01-23 13-49,120.125,120.125,120.125,120.125,13777
2017-01-23 13-50,120.12,120.12,120.12,120.12,32940
2017-01-23 13-51,120.11,120.11,120.11,120.11,38146
2017-01-23 13-52,120.1012,120.1012,120.1012,120.1012,33576
2017-01-23 13-53,120.0901,120.0901,120.0901,120.0901,18322
2017-01-23 13-54,120.1125,120.1125,120.1125,120.1125,14669
2017-01-23 13-55,120.0843,120.0843,120.0843,120.0843,28341
2017-01-23 13-56,120.08,120.08,120.08,120.08,14675
2017-01-23 13-57,120.05,120.05,120.05,120.05,19765
2017-01-23 13-58,120.055,120.055,120.055,120.055,21078
2017-01-23 13-59,120.07,120.07,120.07,120.07,42557
2017-01-23 14-00,120.08,120.08,120.08,120.08,11029
2017-01-23 14-01,120.0701,120.0701,120.0701,120.0701,15235
2017-01-23 14-02,120.05,120.05,120.05,120.05,25810
2017-01-23 14-03,120.09,120.09,120.09,120.09,21876
2017-01-23 14-04,120.069,120.069,120.069,120.069,11413
2017-01-23 14-05,120.08,120.08,120.08,120.08,34524
2017-01-23 14-06,120.08,120.08,120.08,120.08,21236
2017-01-23 14-07,120.11,120.11,120.11,120.11,14747
2017-01-23 14-08,120.11,120.11,120.11,120.11,13256
2017-01-23 14-09,120.0801,120.0801,120.0801,120.0801,15985
